channel_id,bank,pin,electrode_label,electrode_id,col,row,x_um,y_um,serial,pad_agreement,z_ohm,at_limit
46,B,14,elec43,43,5,4,2000.0,1600.0,1025-004419,exact,89,False
47,B,15,elec62,62,3,3,1200.0,1200.0,1025-004419,exact,147,False
48,B,16,elec55,55,4,6,1600.0,2400.0,1025-004419,exact,107,False
49,B,17,elec61,61,3,2,1200.0,800.0,1025-004419,exact,756,False
50,B,18,elec44,44,5,5,2000.0,2000.0,1025-004419,exact,80,False
51,B,19,elec52,52,4,3,1600.0,1200.0,1025-004419,exact,132,False
52,B,20,elec33,33,6,4,2400.0,1600.0,1025-004419,exact,294,False
53,B,21,elec51,51,4,2,1600.0,800.0,1025-004419,exact,160,False
54,B,22,elec34,34,6,5,2400.0,2000.0,1025-004419,exact,106,False
55,B,23,elec41,41,5,2,2000.0,800.0,1025-004419,exact,118,False
56,B,24,elec42,42,5,3,2000.0,1200.0,1025-004419,exact,83,False
57,B,25,elec31,31,6,2,2400.0,800.0,1025-004419,exact,120,False
58,B,26,elec32,32,6,3,2400.0,1200.0,1025-004419,exact,101,False
59,B,27,elec21,21,7,2,2800.0,800.0,1025-004419,exact,146,False
60,B,28,elec22,22,7,3,2800.0,1200.0,1025-004419,exact,95,False
61,B,29,elec11,11,8,2,3200.0,800.0,1025-004419,exact,122,False
62,B,30,elec23,23,7,4,2800.0,1600.0,1025-004419,exact,86,False
63,B,31,elec10,10,8,1,3200.0,400.0,1025-004419,exact,59,False
64,B,32,elec12,12,8,3,3200.0,1200.0,1025-004419,exact,290,False
65,C,1,elec96,96,0,8,0.0,3200.0,1025-004419,exact,104,False
66,C,2,elec87,87,1,8,400.0,3200.0,1025-004419,exact,140,False
67,C,3,elec95,95,0,7,0.0,2800.0,1025-004419,exact,127,False
68,C,4,elec86,86,1,7,400.0,2800.0,1025-004419,exact,190,False
69,C,5,elec94,94,0,6,0.0,2400.0,1025-004419,exact,132,False
70,C,6,elec85,85,1,6,400.0,2400.0,1025-004419,exact,153,False
71,C,7,elec93,93,0,5,0.0,2000.0,1025-004419,exact,118,False
72,C,8,elec84,84,1,5,400.0,2000.0,1025-004419,exact,156,False
73,C,9,elec92,92,0,4,0.0,1600.0,1025-004419,exact,101,False
74,C,10,elec83,83,1,4,400.0,1600.0,1025-004419,exact,183,False
75,C,11,elec91,91,0,3,0.0,1200.0,1025-004419,exact,106,False
76,C,12,elec82,82,1,3,400.0,1200.0,1025-004419,exact,140,False
77,C,13,elec90,90,0,2,0.0,800.0,1025-004419,exact,133,False
78,C,14,elec81,81,1,2,400.0,800.0,1025-004419,exact,130,False
79,C,15,elec89,89,0,1,0.0,400.0,1025-004419,exact,125,False
80,C,16,elec80,80,1,1,400.0,400.0,1025-004419,exact,124,False
81,C,17,elec79,79,1,0,400.0,0.0,1025-004419,exact,304,False
82,C,18,elec71,71,2,2,800.0,800.0,1025-004419,exact,245,False
83,C,19,elec69,69,2,0,800.0,0.0,1025-004419,exact,94,False
84,C,20,elec70,70,2,1,800.0,400.0,1025-004419,exact,350,False
85,C,21,elec59,59,3,0,1200.0,0.0,1025-004419,exact,104,False
86,C,22,elec60,60,3,1,1200.0,400.0,1025-004419,exact,86,False
87,C,23,elec50,50,4,1,1600.0,400.0,1025-004419,exact,134,False
88,C,24,elec49,49,4,0,1600.0,0.0,1025-004419,exact,126,False
89,C,25,elec40,40,5,1,2000.0,400.0,1025-004419,exact,128,False
90,C,26,elec39,39,5,0,2000.0,0.0,1025-004419,exact,191,False
91,C,27,elec30,30,6,1,2400.0,400.0,1025-004419,exact,82,False
92,C,28,elec29,29,6,0,2400.0,0.0,1025-004419,exact,177,False
93,C,29,elec19,19,7,0,2800.0,0.0,1025-004419,exact,103,False
94,C,30,elec20,20,7,1,2800.0,400.0,1025-004419,exact,99,False
95,C,31,elec1,1,9,1,3600.0,400.0,1025-004419,exact,69,False
96,C,32,elec9,9,8,0,3200.0,0.0,1025-004419,exact,512,False
